Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2-Sep-11,10393,9/2/2011,2011,58226,NM,"WOODSTOCK, GA",33845,9/2/2011,10393,3959,CREEKSIDE BANK,102338,FAILURE,PA,DIF
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2-Sep-11,10394,9/2/2011,2011,58273,NM,"CUMMING, GA",54248,9/2/2011,10394,3960,PATRIOT BANK OF GEORGIA,150751,FAILURE,PA,DIF
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,19-Aug-11,10390,8/19/2011,2011,57212,NM,"GENEVA, IL",34064,8/19/2011,10390,3957,FIRST CHOICE BANK,141016,FAILURE,PA,DIF
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,19-Aug-11,10391,8/19/2011,2011,57239,N,"STATESBORO, GA",22171,8/19/2011,10391,3958,FIRST SOUTHERN NATIONAL BANK,164599,FAILURE,PA,DIF
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",19-Aug-11,10392,8/19/2011,2011,35356,SB,"PALM BEACH, FL",187853,8/19/2011,10392,3956,LYDIAN PRIVATE BANK,1700117,FAILURE,PA,DIF
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",18-Aug-11,10389,8/18/2011,2011,34130,SI,"HUNTINGDON VALLEY, PA",15828,8/18/2011,10389,3955,PUBLIC SAVINGS BANK,46818,FAILURE,PA,DIF
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,12-Aug-11,10388,8/12/2011,2011,4744,N,"OLATHE, KS",103328,8/12/2011,10388,3954,THE FIRST NATIONAL BANK OF OLATHE,538091,FAILURE,PA,DIF
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,5-Aug-11,10387,8/5/2011,2011,22528,SM,"COLFAX, WA",101048,8/5/2011,10387,3952,BANK OF WHITMAN,548570,FAILURE,PA,DIF
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,5-Aug-11,10386,8/5/2011,2011,22637,NM,"SHOREWOOD, IL",29378,8/5/2011,10386,3953,BANK OF SHOREWOOD,110723,FAILURE,PA,DIF
Integra Bank National Association,Evansville,IN,4392,Old National Bank,29-Jul-11,10384,7/29/2011,2011,4392,N,"EVANSVILLE, IN",30637,7/29/2011,10384,3949,INTEGRA BANK NATIONAL ASSOCIATION,1994430,FAILURE,PA,DIF
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,29-Jul-11,10383,7/29/2011,2011,58222,N,"COLUMBIA, SC",49181,7/29/2011,10383,3950,"BANKMERIDIAN, N.A.",232648,FAILURE,PA,DIF
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,29-Jul-11,10385,7/29/2011,2011,58283,SM,"RICHMOND, VA",19851,7/29/2011,10385,3951,VIRGINIA BUSINESS BANK,83493,FAILURE,PA,DIF
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",22-Jul-11,10380,7/22/2011,2011,2994,NM,"GREELEY, CO",135593,7/22/2011,10380,3946,BANK OF CHOICE,954106,FAILURE,PA,DIF
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,22-Jul-11,10381,7/22/2011,2011,35244,SM,"SARASOTA, FL",37389,7/22/2011,10381,3947,LANDMARK BANK OF FLORIDA,266482,FAILURE,PA,DIF
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,22-Jul-11,10382,7/22/2011,2011,58056,NM,"APOLLO BEACH, FL",11403,7/22/2011,10382,3948,SOUTHSHORE COMMUNITY BANK,41252,FAILURE,PA,DIF
Summit Bank,Prescott,AZ,57442,The Foothills Bank,15-Jul-11,10379,7/15/2011,2011,57442,NM,"PRESCOTT, AZ",14868,7/15/2011,10379,3944,SUMMIT BANK,73066,FAILURE,PA,DIF
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",15-Jul-11,10376,7/15/2011,2011,34870,NM,"PORT SAINT LUCIE, FL",13110,7/15/2011,10376,3943,FIRST PEOPLES BANK,225035,FAILURE,PA,DIF
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,15-Jul-11,10377,7/15/2011,2011,19554,NM,"STOCKBRIDGE, GA",70772,7/15/2011,10377,3942,HIGH TRUST BANK,180340,FAILURE,PA,DIF
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,15-Jul-11,10378,7/15/2011,2011,58238,NM,"ATLANTA, GA",40555,7/15/2011,10378,3945,ONE GEORGIA BANK,177715,FAILURE,PA,DIF
Signature Bank,Windsor,CO,57835,Points West Community Bank,8-Jul-11,10375,7/8/2011,2011,57835,NM,"WINDSOR, CO",23311,7/8/2011,10375,3941,SIGNATURE  BANK,62518,FAILURE,PA,DIF
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,8-Jul-11,10373,7/8/2011,2011,34522,NM,"CASTLE ROCK, CO",254944,7/8/2011,10373,3940,COLORADO CAPITAL BANK,665806,FAILURE,PA,DIF
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,8-Jul-11,10374,7/8/2011,2011,27935,SM,"CHICAGO, IL",192954,7/8/2011,10374,3939,FIRST CHICAGO BANK & TRUST,896864,FAILURE,PA,DIF
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,24-Jun-11,10372,6/24/2011,2011,57593,NM,"CLAYTON, GA",34480,6/24/2011,10372,3938,MOUNTAIN HERITAGE BANK,103716,FAILURE,PA,DIF
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,17-Jun-11,10370,6/17/2011,2011,27583,NM,"TAMPA, FL",33477,6/17/2011,10370,3937,FIRST COMMERCIAL BANK OF TAMPA BAY,98624,FAILURE,PA,DIF
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,17-Jun-11,10371,6/17/2011,2011,19237,NM,"JACKSON, GA",75418,6/17/2011,10371,3936,MCINTOSH STATE BANK,339929,FAILURE,PA,DIF
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,10369,6/3/2011,2011,58420,SB,"CHARLESTON, SC",31225,6/3/2011,10369,3935,ATLANTIC BANK AND TRUST,208204,FAILURE,PA,DIF
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,27-May-11,10368,5/27/2011,2011,23626,NM,"SNOHOMISH, WA",33596,5/27/2011,10368,3934,FIRST HERITAGE BANK,173478,FAILURE,PA,DIF
Summit Bank,Burlington,WA,513,Columbia State Bank,20-May-11,10367,5/20/2011,2011,513,NM,"BURLINGTON, WA",24195,5/20/2011,10367,3931,SUMMIT BANK,142729,FAILURE,PA,DIF
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",20-May-11,10366,5/20/2011,2011,57647,NM,"FRANKLIN, GA",134660,5/20/2011,10366,3933,FIRST GEORGIA BANKING COMPANY,730981,FAILURE,PA,DIF
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",20-May-11,10365,5/20/2011,2011,57213,NM,"MACON, GA",280971,5/20/2011,10365,3932,ATLANTIC SOUTHERN BANK,741855,FAILURE,PA,DIF
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",6-May-11,10364,5/6/2011,2011,34898,SB,"COCOA BEACH, FL",18527,5/6/2011,10364,3930,COASTAL BANK,129429,FAILURE,PA,DIF
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,29-Apr-11,10359,4/29/2011,2011,34234,NM,"MOUNT CLEMENS, MI",98636,4/29/2011,10359,3927,COMMUNITY CENTRAL BANK,451683,FAILURE,PA,DIF
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,29-Apr-11,10363,4/29/2011,2011,19797,SM,"VALDOSTA, GA",212080,4/29/2011,10363,3925,THE PARK AVENUE BANK,849409,FAILURE,PA,DIF
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,29-Apr-11,10361,4/29/2011,2011,58539,NM,"DALLAS, GA",105180,4/29/2011,10361,3929,FIRST CHOICE COMMUNITY BANK,291196,FAILURE,PA,DIF
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,10360,4/29/2011,2011,57625,NM,"BROOKSVILLE, FL",17194,4/29/2011,10360,3928,CORTEZ COMMUNITY  BANK,66282,FAILURE,PA,DIF
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,10362,4/29/2011,2011,26297,N,"WINTER PARK, FL",42899,4/29/2011,10362,3926,FIRST NATIONAL BANK OF CENTRAL FLORIDA,342079,FAILURE,PA,DIF
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,15-Apr-11,10354,4/15/2011,2011,14273,NM,"CARTHAGE, MS",37841,4/15/2011,10354,3919,HERITAGE BANKING GROUP,228328,FAILURE,PA,DIF
Rosemount National Bank,Rosemount,MN,24099,Central Bank,15-Apr-11,10357,4/15/2011,2011,24099,N,"ROSEMOUNT, MN",5398,4/15/2011,10357,3923,ROSEMOUNT NATIONAL BANK,21454,FAILURE,PA,DIF
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",15-Apr-11,10358,4/15/2011,2011,17750,SB,"BIRMINGHAM, AL",285712,4/15/2011,10358,3920,SUPERIOR BANK,2977290,FAILURE,PA,DIF
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,15-Apr-11,10356,4/15/2011,2011,19794,NM,"BIRMINGHAM, AL",182002,4/15/2011,10356,3921,NEXITY BANK,757574,FAILURE,PA,DIF
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,15-Apr-11,10355,4/15/2011,2011,57705,NM,"EAST ELLIJAY, GA",34708,4/15/2011,10355,3924,NEW HORIZONS BANK,103055,FAILURE,PA,DIF
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,10353,4/15/2011,2011,21495,NM,"CARTERSVILLE, GA",83037,4/15/2011,10353,3922,BARTOW COUNTY BANK,314019,FAILURE,PA,DIF
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,8-Apr-11,10351,4/8/2011,2011,35418,NM,"LAS VEGAS, NV",38492,4/8/2011,10351,3918,NEVADA COMMERCE BANK,135064,FAILURE,PA,DIF
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,10352,4/8/2011,2011,10086,N,"WESTERN SPRINGS, IL",38047,4/8/2011,10352,3917,WESTERN SPRINGS NATIONAL BANK AND TRUST,186677,FAILURE,PA,DIF
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,10350,3/25/2011,2011,34292,NM,"WOOD DALE, IL",44142,3/25/2011,10350,3916,THE BANK OF COMMERCE,163074,FAILURE,PA,DIF
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,11-Mar-11,10348,3/11/2011,2011,34818,SM,"MILWAUKEE, WI",73718,3/11/2011,10348,3915,LEGACY BANK,190418,FAILURE,PA,DIF
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,11-Mar-11,10349,3/11/2011,2011,4077,N,"DAVIS, OK",29846,3/11/2011,10349,3914,THE FIRST NATIONAL BANK OF DAVIS,90183,FAILURE,PA,DIF
Valley Community Bank,St. Charles,IL,34187,First State Bank,25-Feb-11,10347,2/25/2011,2011,34187,NM,"ST. CHARLES, IL",28270,2/25/2011,10347,3913,VALLEY COMMUNITY BANK,123774,FAILURE,PA,DIF
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,10346,2/18/2011,2011,34783,SB,"SAN LUIS OBISPO, CA",72906,2/18/2011,10346,3911,"SAN LUIS TRUST BANK, FSB",332596,FAILURE,PA,DIF
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,10343,2/18/2011,2011,57855,NM,"NAPA, CA",20076,2/18/2011,10343,3912,CHARTER OAK BANK,120833,FAILURE,PA,DIF
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,10344,2/18/2011,2011,34601,NM,"SPRINGFIELD, GA",48229,2/18/2011,10344,3910,CITIZENS BANK OF EFFINGHAM,214275,FAILURE,PA,DIF
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,10345,2/18/2011,2011,151,NM,"CLARKESVILLE, GA",119370,2/18/2011,10345,3909,HABERSHAM BANK,387681,FAILURE,PA,DIF
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,10340,2/11/2011,2011,34692,N,"PALM SPRINGS, CA",15617,2/11/2011,10340,3907,CANYON NATIONAL BANK,210859,FAILURE,PA,DIF
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,10339,2/11/2011,2011,13272,NM,"CASSVILLE, WI",19454,2/11/2011,10339,3905,BADGER STATE BANK,83828,FAILURE,PA,DIF
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,10341,2/11/2011,2011,14939,NM,"HAMTRAMCK, MI",103057,2/11/2011,10341,3906,PEOPLES STATE BANK,390524,FAILURE,PA,DIF
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,10342,2/11/2011,2011,35478,NM,"PORT ORANGE, FL",32294,2/11/2011,10342,3908,SUNSHINE STATE COMMUNITY BANK,125531,FAILURE,PA,DIF
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,4-Feb-11,10337,2/4/2011,2011,57948,SM,"CHICAGO, IL",10213,2/4/2011,10337,3904,COMMUNITY FIRST BANK - CHICAGO,51083,FAILURE,PA,DIF
North Georgia Bank,Watkinsville,GA,35242,BankSouth,4-Feb-11,10338,2/4/2011,2011,35242,NM,"WATKINSVILLE, GA",48161,2/4/2011,10338,3902,NORTH GEORGIA BANK,153172,FAILURE,PA,DIF
American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,10336,2/4/2011,2011,57432,NM,"ROSWELL, GA",69323,2/4/2011,10336,3903,AMERICAN TRUST BANK,238205,FAILURE,PA,DIF
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",28-Jan-11,10333,1/28/2011,2011,12261,SM,"TAOS, NM",230739,1/28/2011,10333,3900,FIRST COMMUNITY BANK,2188154,FAILURE,PA,DIF
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,10334,1/28/2011,2011,57646,NM,"LOUISVILLE, CO",233797,1/28/2011,10334,3901,FIRSTIER BANK,764090,FAILURE,DINB,DIF
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,10332,1/28/2011,2011,5328,NM,"STOUGHTON, WI",28060,1/28/2011,10332,3899,EVERGREEN STATE BANK,240949,FAILURE,PA,DIF
The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,10335,1/28/2011,2011,2303,NM,"CAMARGO, OK",33590,1/28/2011,10335,3898,THE FIRST STATE BANK,44546,FAILURE,PA,DIF
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,21-Jan-11,10331,1/21/2011,2011,31293,SL,"DENVER, CO",137606,1/21/2011,10331,3895,UNITED WESTERN BANK,2153690,FAILURE,PA,DIF
The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,10330,1/21/2011,2011,34516,NM,"ASHEVILLE, NC",43945,1/21/2011,10330,3896,THE BANK OF ASHEVILLE,204925,FAILURE,PA,DIF
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,10328,1/21/2011,2011,57868,NM,"EASLEY, SC",45189,1/21/2011,10328,3897,COMMUNITYSOUTH BANK AND TRUST,340986,FAILURE,PA,DIF
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,10329,1/21/2011,2011,19758,NM,"MCDONOUGH, GA",43538,1/21/2011,10329,3894,ENTERPRISE BANKING COMPANY,99461,FAILURE,DINB,DIF
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,10327,1/14/2011,2011,57440,NM,"BRUNSWICK, GA",84066,1/14/2011,10327,3893,OGLETHORPE BANK,211149,FAILURE,PA,DIF
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,7-Jan-11,10326,1/7/2011,2011,57820,NM,"SCOTTSDALE, AZ",32224,1/7/2011,10326,3892,LEGACY BANK,136446,FAILURE,PA,DIF
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,10325,1/7/2011,2011,34965,SM,"ORLANDO, FL",88904,1/7/2011,10325,3891,FIRST COMMERCIAL BANK OF FLORIDA,578638,FAILURE,PA,DIF
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,10321,12/17/2010,2010,23306,N,"LINO LAKES, MN",5827,12/17/2010,10321,3886,COMMUNITY NATIONAL BANK,31569,FAILURE,PA,DIF
First Southern Bank,Batesville,AR,58052,Southern Bank,17-Dec-10,10322,12/17/2010,2010,58052,NM,"BATESVILLE, AR",24771,12/17/2010,10322,3889,FIRST SOUTHERN BANK,191764,FAILURE,PA,DIF
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,10323,12/17/2010,2010,35065,N,"ATLANTA, GA",96415,12/17/2010,10323,3888,UNITED AMERICAS BANK,242339,FAILURE,PA,DIF
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,10319,12/17/2010,2010,58495,SB,"MCCAYSVILLE, GA",28452,12/17/2010,10319,3890,"APPALACIAN COMMUNITY BANK, F.S.B.",68201,FAILURE,PA,DIF
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,10320,12/17/2010,2010,34578,NM,"DAWSONVILLE, GA",83075,12/17/2010,10320,3887,CHESTATEE STATE BANK,244376,FAILURE,PA,DIF
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,10324,12/17/2010,2010,19040,N,"CORAL GABLES, FL",29071,12/17/2010,10324,3885,THE BANK OF MIAMI,448150,FAILURE,PA,DIF
Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,10317,12/10/2010,2010,35561,NM,"SOUTHAMPTON, PA",22495,12/10/2010,10317,3884,EARTHSTAR BANK,112643,FAILURE,PA,DIF
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,10318,12/10/2010,2010,34673,SM,"FARMINGTON HILLS, MI",68586,12/10/2010,10318,3883,PARAMOUNT BANK,252744,FAILURE,PA,DIF
First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,10315,11/19/2010,2010,5287,SM,"BURLINGTON, WI",86544,11/19/2010,10315,3880,FIRST BANKING CENTER,750724,FAILURE,PA,DIF
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,19-Nov-10,10314,11/19/2010,2010,35078,NM,"BALA CYNWYD, PA",12652,11/19/2010,10314,3882,ALLEGIANCE BANK OF NORTH AMERICA,106595,FAILURE,PA,DIF
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,19-Nov-10,10316,11/19/2010,2010,20340,NM,"CARRABELLE, FL",44443,11/19/2010,10316,3881,GULF STATE COMMUNITY BANK,112144,FAILURE,PA,DIF
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",12-Nov-10,10311,11/12/2010,2010,35463,NM,"SCOTTSDALE, AZ",52561,11/12/2010,10311,3878,COPPER STAR BANK,203955,FAILURE,PA,DIF
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,12-Nov-10,10312,11/12/2010,2010,14580,NM,"VIDALIA, GA",125908,11/12/2010,10312,3877,DARBY BANK & TRUST COMPANY,654714,FAILURE,PA,DIF
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,12-Nov-10,10313,11/12/2010,2010,57831,NM,"TIFTON, GA",21383,11/12/2010,10313,3879,TIFTON BANKING COMPANY,143729,FAILURE,PA,DIF
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,10307,11/5/2010,2010,57885,NM,"WESTMINSTER, CA",14264,11/5/2010,10307,3875,FIRST VIETNAMESE AMERICAN BANK,48000,FAILURE,PA,DIF
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,5-Nov-10,10309,11/5/2010,2010,34411,SM,"TACOMA, WA",26754,11/5/2010,10309,3874,PIERCE COMMERCIAL BANK,221082,FAILURE,PA,DIF
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,10310,11/5/2010,2010,58087,NM,"WOODLAND HILLS, CA",16943,11/5/2010,10310,3876,WESTERN COMMERCIAL BANK,98635,FAILURE,PA,DIF
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),5-Nov-10,10308,11/5/2010,2010,31263,NM,"RANDALLSTOWN, MD",136444,11/5/2010,10308,3873,K BANK,538258,FAILURE,PA,DIF
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,10306,10/22/2010,2010,32582,SB,"SCOTTSDALE, AZ",26776,10/22/2010,10306,3871,"FIRST ARIZONA SAVINGS, A FSB",255920,FAILURE,PO,DIF
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",22-Oct-10,10302,10/22/2010,2010,22173,NM,"OVERLAND PARK, KS",275262,10/22/2010,10302,3868,HILLCREST BANK,1583611,FAILURE,PA,DIF
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,22-Oct-10,10301,10/22/2010,2010,16089,N,"MAYWOOD, IL",44303,10/22/2010,10301,3867,FIRST SUBURBAN NATIONAL BANK,143451,FAILURE,PA,DIF
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,22-Oct-10,10304,10/22/2010,2010,2119,N,"BARNESVILLE, GA",46897,10/22/2010,10304,3866,THE FIRST NATIONAL BANK OF BARNESVILLE,126622,FAILURE,PA,DIF
The Gordon Bank,Gordon,GA,33904,Morris Bank,22-Oct-10,10305,10/22/2010,2010,33904,NM,"GORDON, GA",10354,10/22/2010,10305,3872,THE GORDON BANK,29259,FAILURE,PA,DIF
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,22-Oct-10,10303,10/22/2010,2010,32251,SM,"TAMPA, FL",34562,10/22/2010,10303,3870,PROGRESS BANK OF FLORIDA,94823,FAILURE,PA,DIF
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,22-Oct-10,10300,10/22/2010,2010,27573,NM,"JACKSONVILLE, FL",14277,10/22/2010,10300,3869,FIRST BANK OF JACKSONVILLE,73922,FAILURE,PA,DIF
Premier Bank,Jefferson City,MO,34016,Providence Bank,15-Oct-10,10297,10/15/2010,2010,34016,NM,"JEFFERSON CITY, MO",308831,10/15/2010,10297,3864,PREMIER BANK,989382,FAILURE,PA,DIF
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,15-Oct-10,10299,10/15/2010,2010,58205,NM,"CHESTERFIELD, MO",22436,10/15/2010,10299,3865,WESTBRIDGE BANK AND TRUST COMPANY,87782,FAILURE,PA,DIF
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,15-Oct-10,10298,10/15/2010,2010,30898,SB,"OLATHE, KS",53100,10/15/2010,10298,3863,"SECURITY SAVINGS BANK, F.S.B.",453349,FAILURE,PA,DIF
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,1-Oct-10,10295,10/1/2010,2010,35250,NM,"SHORELINE, WA",23478,10/1/2010,10295,3862,SHORELINE BANK,92980,FAILURE,PA,DIF
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,1-Oct-10,10296,10/1/2010,2010,21777,NM,"CRAWFORDVILLE, FL",119933,10/1/2010,10296,3861,WAKULLA BANK,402205,FAILURE,PA,DIF
North County Bank,Arlington,WA,35053,Whidbey Island Bank,24-Sep-10,10294,9/24/2010,2010,35053,NM,"ARLINGTON, WA",70800,9/24/2010,10294,3859,NORTH COUNTY BANK,288776,FAILURE,PA,DIF
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,24-Sep-10,10293,9/24/2010,2010,58308,NM,"PONTE VEDRA BEACH, FL",34827,9/24/2010,10293,3860,HAVEN TRUST BANK FLORIDA,148575,FAILURE,PA,DIF
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",17-Sep-10,10291,9/17/2010,2010,28612,SL,"WEST ALLIS, WI",88384,9/17/2010,10291,3855,MARITIME SAVINGS BANK,350488,FAILURE,PA,DIF
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,17-Sep-10,10288,9/17/2010,2010,27808,SI,"MILFORD, OH",17928,9/17/2010,10288,3854,BRAMBLE SAVINGS BANK,47523,FAILURE,PA,DIF
The Peoples Bank,Winder,GA,182,Community & Southern Bank,17-Sep-10,10292,9/17/2010,2010,182,NM,"WINDER, GA",101852,9/17/2010,10292,3853,THE PEOPLES BANK,447185,FAILURE,PA,DIF
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,17-Sep-10,10289,9/17/2010,2010,57448,NM,"DOUGLASVILLE, GA",101039,9/17/2010,10289,3857,FIRST COMMERCE COMMUNITY BANK,248151,FAILURE,PA,DIF
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,17-Sep-10,10287,9/17/2010,2010,58197,NM,"ELLIJAY, GA",79709,9/17/2010,10287,3858,THE BANK OF ELLIJAY,168820,FAILURE,PA,DIF
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,17-Sep-10,10290,9/17/2010,2010,57107,NM,"CHERRY HILL, NJ",18856,9/17/2010,10290,3856,ISN BANK,81564,FAILURE,PA,DIF
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,10-Sep-10,10286,9/10/2010,2010,35061,SM,"BRADENTON, FL",61295,9/10/2010,10286,3852,HORIZON BANK,187819,FAILURE,PA,DIF
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,10285,8/20/2010,2010,27259,NM,"SONOMA, CA",10285,8/20/2010,10285,3847,SONOMA VALLEY BANK,337113,FAILURE,PA,DIF
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,20-Aug-10,10282,8/20/2010,2010,32165,SB,"SOLVANG, CA",3434,8/20/2010,10282,3850,LOS PADRES BANK,866459,FAILURE,PA,DIF
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,10278,8/20/2010,2010,33219,NM,"CHICO, CA",1663,8/20/2010,10278,3851,BUTTE COMMUNITY BANK,498751,FAILURE,PA,DIF
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,10283,8/20/2010,2010,27090,SM,"STOCKTON, CA",34038,8/20/2010,10283,3846,PACIFIC STATE BANK,312077,FAILURE,PA,DIF
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,20-Aug-10,10284,8/20/2010,2010,15640,NM,"CHICAGO, IL",525962,8/20/2010,10284,3844,SHOREBANK,2166431,FAILURE,PA,DIF
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",20-Aug-10,10280,8/20/2010,2010,31623,SL,"MARTINSVILLE, VA",4746,8/20/2010,10280,3849,IMPERIAL SAVINGS AND LOAN ASSOCIATION,9448,FAILURE,PA,DIF
