Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,10228,4/30/2010,2010,22710,NM,"EVERETT, WA",453920,4/30/2010,10228,3792,FRONTIER BANK,3250734,FAILURE,PA,DIF
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,10225,4/30/2010,2010,17792,N,"BUTLER, MO",8620,4/30/2010,10225,3791,BC NATIONAL BANKS,52204,FAILURE,PA,DIF
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,10227,4/30/2010,2010,58362,NM,"CREVE COEUR, MO",57091,4/30/2010,10227,3797,CHAMPION BANK,195510,FAILURE,PA,DIF
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,10226,4/30/2010,2010,30005,SI,"PORT HURON, MI",340615,4/30/2010,10226,3794,CF BANCORP,1599122,FAILURE,PA,DIF
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,10231,4/30/2010,2010,31027,NM,"MAYAGUEZ, PR",2178320,4/30/2010,10231,3795,WESTERNBANK PUERTO RICO,10797345,FAILURE,PA,DIF
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,10230,4/30/2010,2010,32185,NM,"HATO REY, PR",984314,4/30/2010,10230,3796,R-G PREMIER BANK OF PUERTO RICO,5681177,FAILURE,PA,DIF
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,10229,4/30/2010,2010,27150,NM,"SAN JUAN, PR",539124,4/30/2010,10229,3793,EUROBANK,2453138,FAILURE,PA,DIF
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,10224,4/23/2010,2010,58429,NM,"NAPERVILLE, IL",189672,4/23/2010,10224,3790,WHEATLAND BANK,441694,FAILURE,PA,DIF
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,10223,4/23/2010,2010,10888,NM,"PEOTONE, IL",45596,4/23/2010,10223,3785,PEOTONE BANK AND TRUST COMPANY,130165,FAILURE,PA,DIF
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,10221,4/23/2010,2010,30600,SI,"CHICAGO, IL",38137,4/23/2010,10221,3787,LINCOLN PARK SAVINGS BANK,194618,FAILURE,PA,DIF
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,10222,4/23/2010,2010,34821,NM,"CHICAGO, IL",132056,4/23/2010,10222,3789,NEW CENTURY BANK,447239,FAILURE,PA,DIF
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,10220,4/23/2010,2010,34658,NM,"CHICAGO, IL",41327,4/23/2010,10220,3788,CITIZENS BANK & TRUST COMPANY OF CHICAGO,73490,FAILURE,PA,DIF
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,10219,4/23/2010,2010,22853,NM,"CHICAGO, IL",377438,4/23/2010,10219,3786,BROADWAY BANK,1059194,FAILURE,PA,DIF
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,10218,4/23/2010,2010,3735,N,"ROCKFORD, IL",15950,4/23/2010,10218,3784,"AMCORE BANK, NATIONAL ASSOCIATION",3066240,FAILURE,PA,DIF
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,10212,4/16/2010,2010,21521,NM,"LYNNWOOD, WA",154993,4/16/2010,10212,3776,CITY BANK,981913,FAILURE,PA,DIF
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,10217,4/16/2010,2010,33493,NM,"SAN RAFAEL, CA",0,4/16/2010,10217,3781,TAMALPAIS BANK,611504,FAILURE,PA,DIF
Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,10214,4/16/2010,2010,23876,NM,"OAKLAND, CA",22715,4/16/2010,10214,3777,INNOVATIVE BANK,266816,FAILURE,PA,DIF
